Address,Name,Status,Category,Source File
0x80000400,entrypoint,Not Started,startup,
0x80000450,osCreateScheduler,Not Started,libultra_os,
0x800005D4,osScAddClient,Not Started,libultra_os,
0x8000063C,__scMain,Not Started,scheduler,
0x80000780,__scSchedule,Not Started,scheduler,
0x80000880,__scHandleRetrace,Not Started,scheduler,
0x80000950,__scHandleRSP,Not Started,scheduler,
0x80000ACC,__scHandleRDP,Not Started,scheduler,
0x80000BA4,__scTaskReady,Not Started,scheduler,
0x80000C54,__scExecTask,Not Started,scheduler,
0x80000D6C,__scAppendList,Not Started,scheduler,
0x80000E20,__scExec,Not Started,scheduler,
0x80000F88,__scHandlePreNMI,Not Started,scheduler,
0x80000FE8,__scScheduleCore,Not Started,scheduler,
0x80001350,viTickStart,Not Started,unknown,
0x800013C0,viEnableAccum,Not Started,unknown,
0x800013DC,viDisableAccum,Not Started,unknown,
0x800013F4,viUpdateTime,Not Started,unknown,
0x800014F0,viScheduleTick,Not Started,unknown,
0x8000153C,viAddTicks,Not Started,unknown,
0x80001578,viGetTimeToDeadline,Not Started,unknown,
0x800015BC,viDeadlinePassed,Not Started,unknown,
0x800015DC,viStub,Not Started,unknown,
0x800015F0,display_update,Decompiled,display,src/game/display.c
0x80001B44,viewport_setup,Decompiled,display,src/game/display.c
0x80001D60,display_mode_tick,Not Started,display,
0x80001DFC,get_tv_offset,Decompiled,unknown,src/game/display.c
0x80001E58,apply_display_mode,Not Started,display,
0x80001E84,get_viewport_pos,Decompiled,display,src/game/display.c
0x80001ECC,get_viewport_offset,Decompiled,display,src/game/display.c
0x80001F2C,update_viewport,Decompiled,display,src/game/display.c
0x800020F0,main,Decompiled,startup,src/game/init.c
0x800021A4,idle_thread_entry,Not Started,unknown,
0x80002238,game_init,Decompiled,startup,src/game/init.c
0x800024FC,audio_thread_entry,Not Started,unknown,
0x80002540,dma_queue_init,Decompiled,dma,src/util/dma.c
0x80002598,dma_wait,Decompiled,dma,src/util/dma.c
0x8000262C,dma_signal,Decompiled,dma,src/util/dma.c
0x80002660,lzss_decompress,Decompiled,inflate,src/util/dma.c
0x800026C0,inflate_decompress,Decompiled,inflate,src/util/dma.c
0x80002730,memchr,Decompiled,libc,src/libc/string.c
0x80002790,memset,Decompiled,libc,src/libc/string.c
0x800028A0,modf,Decompiled,libm,src/libm/math.c
0x80002A64,modff,Decompiled,libm,src/libm/math.c
0x80002BF0,__isinf,Decompiled,libm,src/libm/math.c
0x80002C60,__isnan,Decompiled,libm,src/libm/math.c
0x80002CD0,fcvt,Not Started,libm,
0x80003C3C,__ecvt_internal,Not Started,libm,
0x80004674,__round_helper,Not Started,libm,
0x80004878,inflate_needbits,Not Started,inflate,
0x80004990,inflate_getbits,Not Started,inflate,
0x800049F0,__setfpcsr,Not Started,unknown,
0x80004A10,inflate_io_wait,Not Started,inflate,
0x80004AFC,lzss_decode,Not Started,inflate,
0x80004D50,inflate_flush_window,Not Started,inflate,
0x80004D6C,huft_alloc,Decompiled,inflate,src/inflate/inflate.c
0x80004D98,huft_build,Decompiled,inflate,src/inflate/inflate.c
0x80005464,inflate_free_window,Not Started,inflate,
0x8000595C,inflate_stored,Decompiled,inflate,src/inflate/inflate.c
0x80005B7C,inflate_fixed,Decompiled,inflate,src/inflate/inflate.c
0x80005D44,inflate_dynamic,Decompiled,inflate,src/inflate/inflate.c
0x800064D4,inflate_block,Decompiled,inflate,src/inflate/inflate.c
0x80006678,inflate_loop,Decompiled,inflate,src/inflate/inflate.c
0x800066D4,inflate_read_bits,Not Started,inflate,
0x80006814,inflate_entry,Decompiled,inflate,src/inflate/inflate.c
0x8000697C,inflate_entry_alt,Decompiled,inflate,src/inflate/inflate.c
0x80006A00,osCreateMesgQueue,Decompiled,libultra_os,src/libultra/os_message.c
0x80006A30,osSetEventMesg,Decompiled,libultra_os,src/libultra/os_event.c
0x80006BB0,vi_manager_main,Not Started,unknown,
0x80006D40,osSetThreadPri,Decompiled,libultra_os,src/libultra/os_thread.c
0x80006DA0,osSetIntMask,Decompiled,libultra_os,src/libultra/os_thread.c
0x80006E10,osSetEventMesgAlt,Not Started,libultra_os,
