// Cleaned symbols derived from Ollama analysis
// Format: func_XXXXXXXX = 0xXXXXXXXX; // clean_name - brief description (with signature when known)

func_8008A650 = 0x8008A650; // load_texture_data - pulls texture data into memory
func_8008A750 = 0x8008A750; // audio_call_wrapper - forwards to downstream audio routine
func_8008AA20 = 0x8008AA20; // audio_process - higher-level audio processing call
func_8008AD48 = 0x8008AD48; // audio_chain_dispatch - chains to additional audio handlers
func_8008B474 = 0x8008B474; // physics_floats - floating-point physics helper
func_8008B69C = 0x8008B69C; // logic_process - branching data processor
func_8008B964 = 0x8008B964; // texture_upload - texture loading/render prep
func_8008BA84 = 0x8008BA84; // physics_float_ops - physics arithmetic helper
func_8008BB8C = 0x8008BB8C; // physics_compute - float math, likely physics
func_8008E440 = 0x8008E440; // fmath_helper - heavy FP math helper
func_80095240 = 0x80095240; // physics_step - float operations for physics
func_80095360 = 0x80095360; // play_sfx - play sound effect
func_80095380 = 0x80095380; // poll_input - controller/button polling
func_800953A0 = 0x800953A0; // draw_sprites - sprite rendering
func_800953C0 = 0x800953C0; // apply_gravity_collision - physics with gravity/collision
func_800954A8 = 0x800954A8; // gfx_setup_e700 - display list setup (E700 clear)
func_800954E0 = 0x800954E0; // ai_enemy_move - enemy movement logic
func_80095600 = 0x80095600; // hud_update - HUD element refresh
func_80095720 = 0x80095720; // anim_frame_update - animation frame stepping
func_80095840 = 0x80095840; // physics_integrate - velocity/position integration
func_80095960 = 0x80095960; // bgm_playback - background music handling
func_80095A80 = 0x80095A80; // ui_render - UI rendering
func_80095BA0 = 0x80095BA0; // jump_handler - jump mechanic logic
func_80095CC0 = 0x80095CC0; // npc_interaction - NPC interaction handler
func_80095DE0 = 0x80095DE0; // particles_animate - particle effect animation
func_80095F00 = 0x80095F00; // voice_playback - voice line playback
func_80097470 = 0x80097470; // gfx_init - graphics initialization
func_800974EC = 0x800974EC; // audio_processing - void audio_processing(void *ctx)
func_80097798 = 0x80097798; // vehicle_physics - void vehicle_physics(void *obj, void *state, void *ctx)
func_800979A8 = 0x800979A8; // ai_pathfinding - AI path/decision logic
func_80097AFC = 0x80097AFC; // hud_render - HUD rendering/display update
func_80097CA0 = 0x80097CA0; // camera_transform - camera/view transformation
func_80098574 = 0x80098574; // camera_update_a - nested camera update helper
func_80098620 = 0x80098620; // camera_update_b - nested camera update helper
func_80098AE4 = 0x80098AE4; // sfx_process - sound effect processing/playback
func_80098FC0 = 0x80098FC0; // world_collision - collision detection/handling
func_800992AC = 0x800992AC; // track_render - track generation/rendering
func_80099BFC = 0x80099BFC; // render_object - 3D object rendering core
func_8009C5BC = 0x8009C5BC; // camera_update_c - camera update helper
func_8009C5E0 = 0x8009C5E0; // camera_update_d - camera update helper
func_8009C8F0 = 0x8009C8F0; // particle_system - particle system/effects
func_8009DC50 = 0x8009DC50; // track_collision - track object collision
func_8009DD18 = 0x8009DD18; // track_collision_a - track collision helper
func_8009DD88 = 0x8009DD88; // track_collision_b - track collision helper
func_8009EA70 = 0x8009EA70; // track_collision_c - track collision helper
func_8009EB18 = 0x8009EB18; // gfx_setup_fc - display list setup (E7/FC)
func_8009EBC0 = 0x8009EBC0; // physics_float_helper - float-heavy physics helper
func_8009FDC4 = 0x8009FDC4; // audio_lui_init - audio init stub (LUI)
func_800A0BAC = 0x800A0BAC; // ai_branch_logic - AI branch handler
func_800A12D4 = 0x800A12D4; // gfx_lui_setup - graphics register setup
func_800A153C = 0x800A153C; // physics_step_b - physics with float ops/branches
func_800A1660 = 0x800A1660; // gfx_store_word - graphics store helper
func_800A17F4 = 0x800A17F4; // audio_branch - audio conditional handler
func_800A19E4 = 0x800A19E4; // ai_branch - AI branch handler
