=== OVERNIGHT BATCH JOB ===
Target: 400 functions
Context: 16384 tokens (16K)

Loading disassembly...
Finding all functions...
Found 752 total functions
Checking already processed...
Already processed: 395 functions
Remaining unprocessed: 382 functions
Will process: 382 functions

[1/382] Decompiling 800C3614 (0/hr, ETA: 0.0h)...
[2/382] Decompiling 800C36A0 (141/hr, ETA: 2.7h)...
[3/382] Decompiling 800C3AD0 (135/hr, ETA: 2.8h)...
[4/382] Decompiling 800C40F8 (161/hr, ETA: 2.4h)...
[5/382] Decompiling 800C4180 (181/hr, ETA: 2.1h)...
[6/382] Decompiling 800C4200 (188/hr, ETA: 2.0h)...
[7/382] Decompiling 800C46D0 (189/hr, ETA: 2.0h)...
[8/382] Decompiling 800C4CF8 (188/hr, ETA: 2.0h)...
[9/382] Decompiling 800C4F68 (190/hr, ETA: 2.0h)...
[10/382] Decompiling 800C5500 (204/hr, ETA: 1.8h)...
[11/382] Decompiling 800C55E4 (216/hr, ETA: 1.7h)...
[12/382] Decompiling 800C5644 (226/hr, ETA: 1.6h)...
[13/382] Decompiling 800C6404 (216/hr, ETA: 1.7h)...
[14/382] Decompiling 800C69C0 (226/hr, ETA: 1.6h)...
[15/382] Decompiling 800C6AA0 (226/hr, ETA: 1.6h)...
[16/382] Decompiling 800C70BC (216/hr, ETA: 1.7h)...
[17/382] Decompiling 800C7110 (220/hr, ETA: 1.7h)...
[18/382] Decompiling 800C7308 (223/hr, ETA: 1.6h)...
[19/382] Decompiling 800C734C (219/hr, ETA: 1.7h)...
[20/382] Decompiling 800C7578 (211/hr, ETA: 1.7h)...
[21/382] Decompiling 800C760C (208/hr, ETA: 1.7h)...
[22/382] Decompiling 800C7818 (204/hr, ETA: 1.8h)...
[23/382] Decompiling 800C7ED4 (144/hr, ETA: 2.5h)...
[24/382] Decompiling 800C813C (146/hr, ETA: 2.5h)...
[25/382] Decompiling 800C84FC (146/hr, ETA: 2.5h)...
  Progress saved (25/382)
[26/382] Decompiling 800C878C (148/hr, ETA: 2.4h)...
[27/382] Decompiling 800C87F4 (152/hr, ETA: 2.3h)...
[28/382] Decompiling 800C8864 (154/hr, ETA: 2.3h)...
[29/382] Decompiling 800C8920 (157/hr, ETA: 2.3h)...
[30/382] Decompiling 800C8B8C (159/hr, ETA: 2.2h)...
[31/382] Decompiling 800C8FA4 (162/hr, ETA: 2.2h)...
[32/382] Decompiling 800C90E0 (164/hr, ETA: 2.1h)...
[33/382] Decompiling 800C9194 (167/hr, ETA: 2.1h)...
[34/382] Decompiling 800C9210 (171/hr, ETA: 2.0h)...
[35/382] Decompiling 800C92DC (173/hr, ETA: 2.0h)...
[36/382] Decompiling 800C9334 (173/hr, ETA: 2.0h)...
[37/382] Decompiling 800C937C (176/hr, ETA: 2.0h)...
[38/382] Decompiling 800C93AC (175/hr, ETA: 2.0h)...
[39/382] Decompiling 800C9404 (175/hr, ETA: 2.0h)...
[40/382] Decompiling 800C9480 (177/hr, ETA: 1.9h)...
[41/382] Decompiling 800C9530 (178/hr, ETA: 1.9h)...
[42/382] Decompiling 800C95DC (180/hr, ETA: 1.9h)...
[43/382] Decompiling 800C9BE0 (178/hr, ETA: 1.9h)...
